objectid,parentid,filename,title,creator,description,subject,type,format,language
coll1,,achar.jpg,Achar (maybe),,,Side; Pakistani; Urdu,Image;StillImage,image/jpeg,Urdu
coll2,,andokihalwa.jpg,Anda ki Halwa,,,Dessert; Pakistani; English,Image;StillImage,image/jpeg,English
coll3,,begarbeigancanva.jpg,Beghaar Baigan,,,Side; Pakistani; Urdu,Image;StillImage,image/jpeg,Urdu
coll4,,beefchilly.jpg,Beef Chilly/Chicken Chilly,,,Main; Chinese; English,Image;StillImage,image/jpeg,English
coll5,,chineseveggies.jpg,Chinese Vegetables,,,Side; Chinese; English,Image;StillImage,image/jpeg,English
coll6,,chowmeing.jpg,Chow Meing,,,Main; Chinese; English,Image;StillImage,image/jpeg,English
coll7,,germanapple.jpg,German Apple Pancake,,,Breakfast; German; English,Image;StillImage,image/jpeg,English
coll8,,gulabjamun.jpg,Gulab Jamun,,,Dessert; Pakistani; Urdu,Image;StillImage,image/jpeg,Urdu
coll9,,haleem.jpg,Haleem,,Incomplete,Main; Pakistani; Urdu,Image;StillImage,image/jpeg,Urdu
coll12,,mamoul.jpg,Mamoul,,,Dessert; Arab; English,Image;StillImage,image/jpeg,English
coll13,,nanqatai.jpg,Naan Qatai,,,Dessert; Pakistani; English,Image;StillImage,image/jpeg,English
coll14,,namurah.jpg,Namurah,,,Dessert; Arab; Urdu,Image;StillImage,image/jpeg,Urdu
coll16,,qataif.jpg,Qataef,,,Dessert; Arab; English,Image;StillImage,image/jpeg,English
coll17,,rasmalai.jpg,Ras Malai,,,Dessert; Pakistani; English,Image;StillImage,image/jpeg,English
coll18,,shamikabob.jpg,Shami Kabob,,,Side; Pakistani; Urdu,Image;StillImage,image/jpeg,Urdu
coll19,,shahitukra.jpg,Shahi Tukrah,,,Dessert; Pakistani; English,Image;StillImage,image/jpeg,English
coll20,,somethingkarhai.jpg,Something ki Karhai,,,Main; Pakistani; English; Update,Image;StillImage,image/jpeg,English
coll21,,nonlabled2.jpg,Something with Baigan,,,Side; Pakistani; Urdu; Update,Image;StillImage,image/jpeg,Urdu
coll22,,arabia.jpg,Arbia,,,Dessert; Arab; English,Image;StillImage,image/jpeg,English
coll24,,kfc.jpg,Kentuckey Fried Chicken,,,Main; American; English,Image;StillImage,image/jpeg,English
coll25,,niharikarhai.jpg,Niharhi/Karhai,,,Main; Pakistani; English Update,Image;StillImage,image/jpeg,English
coll27,,niharicanva.jpg,Nihari Masala,,,Main; Pakistani; English,Image;StillImage,image/jpeg,English
coll28,,nonlabled1.jpg,not labled,,,English; Update,Image;StillImage,image/jpeg,English
coll29,,payacanva.jpg,Paya,,,Main; Pakistani; English,Image;StillImage,image/jpeg,English
coll30,,somethingkabab.jpg,Something Kabab,,,English; Update,Image;StillImage,image/jpeg,English
coll31,,somethingbeef2.jpg,Something Beef,,,English; Update,Image;StillImage,image/jpeg,English
coll32,,frontcover.JPG,Cover Page,,,,Image;StillImage,image/jpeg,
coll33,,nonlabled2.jpg,Not Labled,,,Urdu; Update,Image;StillImage,image/jpeg,
